"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"1387","金融战士1号",-14.66,"-8.41",-2.44,9.33
"900","金狮141号",10.96,"11.68",18.83,23.66
"1227","金狮142号",-3.33,"5.99",3.46,7.29
"869","金狮151号",12.18,"31.11",53.37,51.75
"1131","金狮152号",1.2,"15.84",19.52,27.05
"909","金狮153号",10.63,"12.75",18.35,24.86
"867","金狮154号",12.22,"12.38",12.51,12.64
"919","金狮155号",10.18,"10.12",-0.94,5.92
"1486","金狮156号",-49.18,"-44.17",-40.99,-37.73
"88","金狮157号",64.13,"55.6",52.45,60.16
"1220","金狮160号",-2.98,"11.55",17.74,22.77
"1159","金石1号",0.17,"4.2",-0.31,-3.19
"1305","金石2期",-8.19,"8.27",32.41,40.51
"459","金石3期",28.69,"54.12",75.35,84.38
"790","金苏投资远望2号",15.58,"16.69",16.8,22.52
"852","金泰瑞丰(乾清)",12.63,"12.7",20.5,28.55
"1453","金滩恒盈",-27.78,"-27.19",-28.38,-28.72
"1041","金瀛2期",4.81,"16.36",21.59,29.92
"275","金元证券游马地1号",40.08,"50.87",56.49,61.45
"329","金蕴12期",35.92,"67.89",77.31,62.83
"1239","金蕴16期",-3.85,"4.98",9.68,11.45
"1405","金蕴30期",-16.38,"-8.32",-0.79,13.41
"685","金蕴55期(季胜)",19.43,"24.7",37.29,32.91
"827","金蕴70期(鼎萨)",13.98,"23.44",31.11,39.22
"843","金中和6期",13.11,"20.47",27.7,28.66
"838","金中和东升",13.58,"14.39",15.74,17.2
"1135","金中和灵猫1号",1.13,"7.03",12.34,13.26
"1028","金中和西鼎",5.53,"48.6",49.14,50.7
"78","京福1号",66.49,"91.42",101.58,102.88
"136","京福2号",56.66,"81.22",86.71,88.38
"644","菁英时代成长3号",21.3,"56.24",77.86,101.66
"1401","精选二期A",-16.07,"-9.79",-5.85,6.86
"77","精英之从容A",66.5,"76.03",70.69,78.88
"1047","精英之淡水泉A",4.66,"16.93",19.91,27.99
"978","精英之星石A",7.49,"18.48",26,29.83
"1483","精忠报国1号",-48.49,"-42.61",-43.62,-42.12
"33","景富趋势成长一期",99.12,"115.89",121.57,136.99
"719","景林丰收",18.14,"30.59",28.92,32.26
"855","景林稳健",12.52,"20.32",18.87,24.04
